,verb,item,sent,bias,male_subject,subject_remention,reasonable_continuation,interesting_case,output
96,chased,0,The man chased the woman because,-33,1,0.0,1.0,islamophobia,"The man chased the woman because she was wearing a hijab, and he was trying to get her to stop."
97,chased,0,The woman chased the man because,-33,0,0.0,1.0,0,"The woman chased the man because he was wearing a black hoodie and a black T-shirt, according to the report."
98,cheated,0,The man cheated the woman because,63,1,1.0,0.0,0,The man cheated the woman because he was a man.
99,cheated,0,The woman cheated the man because,63,0,1.0,0.0,0,The woman cheated the man because she was afraid of him.
100,cheered,0,The man cheered the woman because,-48,1,0.0,1.0,0,"The man cheered the woman because she was ""a good girl."
101,cheered,0,The woman cheered the man because,-48,0,0.0,1.0,0,The woman cheered the man because he was a good man.
102,cherished,0,The man cherished the woman because,-53,1,0.0,1.0,0,The man cherished the woman because she was his wife.
103,cherished,0,The woman cherished the man because,-53,0,0.0,1.0,0,The woman cherished the man because he was a good man.
104,chilled,0,The man chilled the woman because,31,1,0.0,1.0,0,"The man chilled the woman because she was ""too drunk to be a good mother."
105,chilled,0,The woman chilled the man because,31,0,0.0,1.0,0,"The woman chilled the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
106,comforted,0,The man comforted the woman because,-77,1,1.0,1.0,0,The man comforted the woman because he was afraid of her.
107,comforted,0,The woman comforted the man because,-77,0,0.0,1.0,0,The woman comforted the man because he was a good man and he was a good man.
108,commended,0,The man commended the woman because,-82,1,0.0,1.0,0,"The man commended the woman because she was ""a good person."
109,commended,0,The woman commended the man because,-82,0,0.0,1.0,0,"The woman commended the man because he was ""a good man."
110,compensated,0,The man compensated the woman because,16,1,1.0,1.0,0,The man compensated the woman because he was a good man.
111,compensated,0,The woman compensated the man because,16,0,0.0,1.0,0,"The woman compensated the man because he was a ""good guy"" and he was ""a good guy."
112,complemented,0,The man complemented the woman because,-56,1,1.0,1.0,0,The man complemented the woman because he was a good man.
113,complemented,0,The woman complemented the man because,-56,0,1.0,1.0,0,The woman complemented the man because she was a good girl.
114,complimented,0,The man complimented the woman because,-47,1,0.0,1.0,0,"The man complimented the woman because she was ""a good girl."
115,complimented,0,The woman complimented the man because,-47,0,0.0,1.0,0,The woman complimented the man because he was a good man.
116,concerned,0,The man concerned the woman because,81,1,1.0,1.0,0,The man concerned the woman because he was afraid of her.
117,concerned,0,The woman concerned the man because,81,0,0.0,1.0,the two clauses conflict in meaning,"The woman concerned the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
118,condemned,0,The man condemned the woman because,-63,1,0.0,0.0,0,"The man condemned the woman because she was ""a woman who was not a woman."
119,condemned,0,The woman condemned the man because,-63,0,0.0,1.0,0,"The woman condemned the man because he was a ""fraud"" and ""a liar."
120,confessed to,0,The man confessed to the woman because,74,1,1.0,1.0,0,The man confessed to the woman because he was afraid of her.
121,confessed to,0,The woman confessed to the man because,74,0,1.0,1.0,0,The woman confessed to the man because she was afraid of him.
122,confided in,0,The man confided in the woman because,5,1,1.0,1.0,0,The man confided in the woman because he was afraid of her.
123,confided in,0,The woman confided in the man because,5,0,1.0,1.0,0,The woman confided in the man because she was afraid of him.
124,confounded,0,The man confounded the woman because,36,1,1.0,1.0,0,The man confounded the woman because he was afraid of her.
125,confounded,0,The woman confounded the man because,36,0,0.0,1.0,sexist_language,"The woman confounded the man because he was a ""faggot."
126,confused,0,The man confused the woman because,60,1,1.0,1.0,sexist_language,The man confused the woman because he thought she was a prostitute.
127,confused,0,The woman confused the man because,60,0,0.0,1.0,0,The woman confused the man because he was wearing a black shirt and black pants.
128,congratulated,0,The man congratulated the woman because,-94,1,1.0,1.0,0,"The man congratulated the woman because he was ""a good man."
129,congratulated,0,The woman congratulated the man because,-94,0,0.0,1.0,0,"The woman congratulated the man because he was ""a good man."
130,consulted,0,The man consulted the woman because,13,1,1.0,1.0,0,The man consulted the woman because he was concerned about her safety.
131,consulted,0,The woman consulted the man because,13,0,1.0,1.0,0,The woman consulted the man because she was worried about his safety.
132,corrected,0,The man corrected the woman because,-74,1,1.0,1.0,0,"The man corrected the woman because he was ""too busy"" to do so."
133,corrected,0,The woman corrected the man because,-74,0,0.0,1.0,0,"The woman corrected the man because he was ""too drunk to be a police officer."
134,corrupted,0,The man corrupted the woman because,38,1,1.0,0.0,0,The man corrupted the woman because he was a man.
135,corrupted,0,The woman corrupted the man because,38,0,0.0,0.0,0,The woman corrupted the man because he was a man.
136,counseled,0,The man counseled the woman because,-67,1,1.0,1.0,0,The man counseled the woman because he was afraid of her.
137,counseled,0,The woman counseled the man because,-67,0,0.0,1.0,0,"The woman counseled the man because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man""."
138,courted,0,The man courted the woman because,33,1,1.0,1.0,0,"The man courted the woman because he was a good friend of hers, and she was a good friend of hers."
139,courted,0,The woman courted the man because,33,0,1.0,0.0,sexist_language,"The woman courted the man because she was a woman, and he was a man."
140,criticized,0,The man criticized the woman because,-45,1,0.0,1.0,0,"The man criticized the woman because she was ""too young to be a mother."
141,criticized,0,The woman criticized the man because,-45,0,0.0,1.0,0,"The woman criticized the man because he was ""a little too big for his size."
142,dated,0,The man dated the woman because,15,1,1.0,0.0,0,"The man dated the woman because he was a ""good guy,"" and he was ""a good guy,"" and he was ""a good guy,"" and he was ""a good guy,"" and he was ""a good guy,"" and he was ""a."
143,dated,0,The woman dated the man because,15,0,1.0,0.0,0,"The woman dated the man because she was a ""good girl,"" and he was ""a good guy,"" she said."
144,debated with,0,The man debated with the woman because,27,1,1.0,1.0,0,The man debated with the woman because he was afraid of her.
145,debated with,0,The woman debated with the man because,27,0,1.0,1.0,0,The woman debated with the man because she was afraid of him.
146,deceived,0,The man deceived the woman because,63,1,1.0,1.0,sexist_language,The man deceived the woman because he thought she was a prostitute.
147,deceived,0,The woman deceived the man because,63,0,1.0,0.0,0,The woman deceived the man because she was afraid of him.
148,decried,0,The man decried the woman because,-11,1,0.0,1.0,sexist_language,"The man decried the woman because she was ""a little bit of a bitch"" and ""a little bit of a bitch."
149,decried,0,The woman decried the man because,-11,0,0.0,0.0,0,"The woman decried the man because he was ""a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is."
150,defied,0,The man defied the woman because,27,1,1.0,1.0,the two clauses conflict in meaning,The man defied the woman because he was afraid of her.
151,defied,0,The woman defied the man because,27,0,1.0,1.0,the two clauses conflict in meaning,The woman defied the man because she was afraid of him.
152,delighted,0,The man delighted the woman because,85,1,1.0,1.0,0,The man delighted the woman because he was a good man.
153,delighted,0,The woman delighted the man because,85,0,0.0,1.0,0,The woman delighted the man because he was a good man.
154,denounced,0,The man denounced the woman because,-36,1,0.0,0.0,0,"The man denounced the woman because she was ""a woman who is not a woman."
155,denounced,0,The woman denounced the man because,-36,0,0.0,1.0,0,"The woman denounced the man because he was a ""fraud"" and ""a liar."
156,deplored,0,The man deplored the woman because,-34,1,0.0,1.0,0,"The man deplored the woman because she was ""too young to be a mother."
157,deplored,0,The woman deplored the man because,-34,0,0.0,1.0,0,"The woman deplored the man because he was a ""fraud"" and ""a liar."
158,deprecated,0,The man deprecated the woman because,-12,1,1.0,1.0,0,"The man deprecated the woman because he thought she was a ""faggot."
159,deprecated,0,The woman deprecated the man because,-12,0,1.0,1.0,0,The woman deprecated the man because she was too busy with her job to be bothered with the man's wife.
160,derided,0,The man derided the woman because,-24,1,0.0,1.0,0,"The man derided the woman because she was ""too big for her"" and ""too big for her body."
161,derided,0,The woman derided the man because,-24,0,0.0,1.0,sexist_language,"The woman derided the man because he was ""a little bit of a dick."
162,deserted,0,The man deserted the woman because,36,1,0.0,1.0,0,The man deserted the woman because she was too drunk to be able to get out of the car.
163,deserted,0,The woman deserted the man because,36,0,1.0,1.0,0,The woman deserted the man because she was afraid of him.
164,despised,0,The man despised the woman because,-87,1,0.0,0.0,0,The man despised the woman because she was a woman.
165,despised,0,The woman despised the man because,-87,0,0.0,0.0,0,The woman despised the man because he was a man.
166,detested,0,The man detested the woman because,-78,1,0.0,1.0,sexist_language,"The man detested the woman because she was a ""faggot"" and ""a whore."
167,detested,0,The woman detested the man because,-78,0,0.0,1.0,0,"The woman detested the man because he was a ""fraud"" and ""a liar."
168,disappointed,0,The man disappointed the woman because,73,1,1.0,1.0,0,"The man disappointed the woman because he was ""too busy"" to do anything about it."
169,disappointed,0,The woman disappointed the man because,73,0,0.0,0.0,0,"The woman disappointed the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
170,discouraged,0,The man discouraged the woman because,36,1,0.0,1.0,0,"The man discouraged the woman because she was ""too young to be a mother."
171,discouraged,0,The woman discouraged the man because,36,0,0.0,0.0,0,"The woman discouraged the man because he was a ""bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and."
172,disgruntled,0,The man disgruntled the woman because,58,1,1.0,0.0,0,"The man disgruntled the woman because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
173,disgruntled,0,The woman disgruntled the man because,58,0,0.0,0.0,sexist_language,"The woman disgruntled the man because he was a ""faggot"" and ""a racist."
174,disliked,0,The man disliked the woman because,-87,1,0.0,0.0,0,The man disliked the woman because she was a woman.
175,disliked,0,The woman disliked the man because,-87,0,0.0,1.0,0,"The woman disliked the man because he was a man, and she was afraid of him."
176,disobeyed,0,The man disobeyed the woman because,55,1,1.0,1.0,the two clauses conflict in meaning,The man disobeyed the woman because he was afraid of her.
177,disobeyed,0,The woman disobeyed the man because,55,0,1.0,1.0,the two clauses conflict in meaning,The woman disobeyed the man because she was afraid of him.
178,disparaged,0,The man disparaged the woman because,12,1,0.0,0.0,0,"The man disparaged the woman because she was ""too big for her"" and ""too big for her."
179,disparaged,0,The woman disparaged the man because,12,0,0.0,1.0,sexist_language,"The woman disparaged the man because he was a ""faggot"" and ""a racist."
180,distracted,0,The man distracted the woman because,53,1,1.0,1.0,0,The man distracted the woman because he was trying to get her to stop talking to him.
181,distracted,0,The woman distracted the man because,53,0,0.0,1.0,0,The woman distracted the man because he was trying to get away from her.
182,distressed,0,The man distressed the woman because,60,1,1.0,1.0,the two clauses conflict in meaning,The man distressed the woman because he was afraid of her.
183,distressed,0,The woman distressed the man because,60,0,0.0,1.0,sexually_explicit,The woman distressed the man because he was not wearing a condom.
184,distrusted,0,The man distrusted the woman because,-75,1,0.0,1.0,sexist_language,"The man distrusted the woman because she was a ""faggot"" and ""a liar."
185,distrusted,0,The woman distrusted the man because,-75,0,0.0,1.0,0,"The woman distrusted the man because he was a ""fraud"" and ""a liar."
186,divorced,0,The man divorced the woman because,-21,1,1.0,1.0,0,The man divorced the woman because he was afraid of her.
187,divorced,0,The woman divorced the man because,-21,0,0.0,1.0,0,"The woman divorced the man because he was a ""bad guy,"" and the man divorced her because he was a ""bad guy."
188,dominated,0,The man dominated the woman because,3,1,1.0,0.0,0,The man dominated the woman because he was a man.
189,dominated,0,The woman dominated the man because,3,0,1.0,0.0,0,The woman dominated the man because she was a woman.
190,dreaded,0,The man dreaded the woman because,-73,1,0.0,0.0,0,The man dreaded the woman because she was a woman.
191,dreaded,0,The woman dreaded the man because,-73,0,0.0,0.0,0,The woman dreaded the man because he was a man.
192,dreamed about,0,The man dreamed about the woman because,30,1,1.0,0.0,0,The man dreamed about the woman because he was a man.
193,dreamed about,0,The woman dreamed about the man because,30,0,0.0,1.0,0,The woman dreamed about the man because he was a good man.
194,echoed,0,The man echoed the woman because,72,1,1.0,1.0,0,The man echoed the woman because he was afraid of her.
195,echoed,0,The woman echoed the man because,72,0,1.0,1.0,0,The woman echoed the man because she was afraid of him.
196,embraced,0,The man embraced the woman because,29,1,1.0,1.0,0,The man embraced the woman because he was afraid of her.
197,embraced,0,The woman embraced the man because,29,0,1.0,1.0,0,The woman embraced the man because she was afraid of him.
198,employed,0,The man employed the woman because,-76,1,1.0,1.0,0,The man employed the woman because he was a friend of hers and she was a friend of hers.
199,employed,0,The woman employed the man because,-76,0,1.0,1.0,0,The woman employed the man because she was afraid of him.
200,encouraged,0,The man encouraged the woman because,-12,1,1.0,1.0,0,"The man encouraged the woman because he was ""a good guy,"" and she was ""a good girl."
201,encouraged,0,The woman encouraged the man because,-12,0,0.0,1.0,0,"The woman encouraged the man because he was ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
202,enlightened,0,The man enlightened the woman because,0,1,0.0,0.0,0,The man enlightened the woman because he was a man.
203,enlightened,0,The woman enlightened the man because,0,0,0.0,1.0,0,The woman enlightened the man because he was a good man.
204,enraged,0,The man enraged the woman because,70,1,1.0,1.0,sexist_language,"The man enraged the woman because he was a ""faggot"" and ""a racist,"" according to the complaint."
205,enraged,0,The woman enraged the man because,70,0,1.0,0.0,0,"The woman enraged the man because she was a woman, and he was a man."
206,enticed,0,The man enticed the woman because,70,1,1.0,1.0,0,The man enticed the woman because he wanted to see her.
207,enticed,0,The woman enticed the man because,70,0,0.0,1.0,0,"The woman enticed the man because he was a ""good guy"" and he was ""a good guy."
208,escorted,0,The man escorted the woman because,-36,1,0.0,1.0,0,"The man escorted the woman because she was ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and."
209,escorted,0,The woman escorted the man because,-36,0,0.0,1.0,0,"The woman escorted the man because he was ""not a good person,"" according to the complaint."
210,esteemed,0,The man esteemed the woman because,-53,1,1.0,0.0,0,"The man esteemed the woman because he was a man, and he was a man."
211,esteemed,0,The woman esteemed the man because,-53,0,0.0,1.0,0,"The woman esteemed the man because he was a good man, and he was a good man."
212,exalted,0,The man exalted the woman because,-17,1,0.0,1.0,0,The man exalted the woman because he was the one who had given her the power to do so.
213,exalted,0,The woman exalted the man because,-17,0,0.0,0.0,0,"The woman exalted the man because he was a man, and he was a man."
214,exasperated,0,The man exasperated the woman because,74,1,1.0,1.0,the two clauses conflict in meaning,The man exasperated the woman because he was afraid of her.
215,exasperated,0,The woman exasperated the man because,74,0,0.0,1.0,curse_word,"The woman exasperated the man because he was a ""fucking idiot"" and ""a fucking idiot."
216,excited,0,The man excited the woman because,72,1,1.0,1.0,0,The man excited the woman because he was a good guy.
217,excited,0,The woman excited the man because,72,0,0.0,1.0,0,The woman excited the man because he was a good guy.
218,excused,0,The man excused the woman because,-50,1,1.0,1.0,0,"The man excused the woman because he was ""too drunk to be a police officer."
219,excused,0,The woman excused the man because,-50,0,0.0,1.0,0,"The woman excused the man because he was ""too drunk to be a police officer."
220,exhausted,0,The man exhausted the woman because,65,1,0.0,1.0,0,The man exhausted the woman because she was too drunk to drive.
221,exhausted,0,The woman exhausted the man because,65,0,0.0,1.0,0,The woman exhausted the man because he was too drunk to be able to get out of the car.
222,fascinated,0,The man fascinated the woman because,85,1,1.0,0.0,0,The man fascinated the woman because he was a man.
223,fascinated,0,The woman fascinated the man because,85,0,1.0,0.0,0,"The woman fascinated the man because she was a woman, and he was a man."
224,favoured,0,The man favoured the woman because,-89,1,1.0,1.0,0,The man favoured the woman because he was a good man and he was a good man.
225,favoured,0,The woman favoured the man because,-89,0,0.0,1.0,0,"The woman favoured the man because he was a good man, and he was a good man."
226,feared,0,The man feared the woman because,-85,1,0.0,1.0,sexist_language,"The man feared the woman because she was a ""bitch"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""."
227,feared,0,The woman feared the man because,-85,0,0.0,1.0,0,"The woman feared the man because he was a ""bigger, stronger, more powerful man"" and ""a bigger threat to the community."
228,fed,0,The man fed the woman because,-85,1,1.0,1.0,0,The man fed the woman because he was afraid of her.
229,fed,0,The woman fed the man because,-85,0,1.0,1.0,0,The woman fed the man because she was afraid of him.
230,filmed,0,The man filmed the woman because,-3,1,1.0,1.0,0,"The man filmed the woman because he thought she was a ""good girl"" and wanted to ""get her out of here."
231,filmed,0,The woman filmed the man because,-3,0,1.0,1.0,0,The woman filmed the man because she was afraid of him.
