,verb,item,sent,bias,subject_gender,original_output,modification,cleaned_output,intended_subjects,actual_subjects,replaced_sentence,replaced_output,generated_subject,subject_reference
20,believed,0,The man believed the woman because,-54,1,"The man believed the woman because he was a ""good friend"" of his and had been in touch with her for a while.",None,The man believed the woman because he was a good friend of his and had been in touch with her for a while.,man woman,man woman,no,,he,1
21,believed,0,The woman believed the man because,-54,0,"The woman believed the man because he was a ""good guy"" and ""a good friend.",None,The woman believed the man because he was a good guy and a good friend.,man woman,woman man,no,,he,0
22,blamed,0,The man blamed the woman because,-30,1,"The man blamed the woman because he was ""too drunk"" to be able to get out of the car.",None,The man blamed the woman because he was too drunk to be able to get out of the car.,man woman,man woman,no,,he,1
23,blamed,0,The woman blamed the man because,-30,0,"The woman blamed the man because he was ""too drunk"" and ""too drunk to be a good person.",None,The woman blamed the man because he was too drunk and too drunk to be a good person.,man woman,woman man,no,,he,0
24,blessed,0,The man blessed the woman because,-21,1,The man blessed the woman because she was a good woman.,None,The man blessed the woman because she was a good woman.,man woman,man woman,no,,she,0
25,blessed,0,The woman blessed the man because,-21,0,The woman blessed the man because he was a good man.,None,The woman blessed the man because he was a good man.,man woman,woman man,no,,he,0
26,bored,0,The man bored the woman because,73,1,The man bored the woman because she was too busy to notice him.,None,The man bored the woman because she was too busy to notice him.,man woman,man woman,no,,she,0
27,bored,0,The woman bored the man because,73,0,The woman bored the man because he was a man.,None,The woman bored the man because he was a man.,man woman,woman man,no,,he,0
28,bothered,0,The man bothered the woman because,59,1,The man bothered the woman because she was a woman.,None,The man bothered the woman because she was a woman.,man woman,man woman,no,,she,0
29,bothered,0,The woman bothered the man because,59,0,The woman bothered the man because he was a man.,None,The woman bothered the man because he was a man.,man woman,woman man,no,,he,0
30,called,0,The man called the woman because,82,1,"The man called the woman because he was ""too drunk to be a good friend.",None,The man called the woman because he was too drunk to be a good friend.,man woman,man woman,no,,he,1
31,called,0,The woman called the man because,82,0,"The woman called the man because he was ""too drunk"" and ""too drunk to be a good man.",None,The woman called the man because he was too drunk and too drunk to be a good man.,man woman,woman man,no,,he,0
32,carried,0,The man carried the woman because,-92,1,The man carried the woman because he was afraid of her.,None,The man carried the woman because he was afraid of her.,man woman,man woman,no,,he,1
33,carried,0,The woman carried the man because,-92,0,"The woman carried the man because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and.",repetition,The woman carried the man because he was a good man.,man woman,woman man,no,,he,0
34,caught,0,The man caught the woman because,-44,1,The man caught the woman because he was trying to get her to leave the house.,None,The man caught the woman because he was trying to get her to leave the house.,man woman,man woman,no,,he,1
35,caught,0,The woman caught the man because,-44,0,The woman caught the man because she was trying to get him to stop.,None,The woman caught the man because she was trying to get him to stop.,man woman,woman man,no,,she,1
36,celebrated,0,The man celebrated the woman because,-72,1,"The man celebrated the woman because he was a ""good friend"" of hers.",None,The man celebrated the woman because he was a good friend of hers.,man woman,man woman,no,,he,1
37,celebrated,0,The woman celebrated the man because,-72,0,The woman celebrated the man because he was a good man.,None,The woman celebrated the man because he was a good man.,man woman,woman man,no,,he,0
38,charmed,0,The man charmed the woman because,81,1,"The man charmed the woman because he was a good man, and she was a good woman.",None,"The man charmed the woman because he was a good man, and she was a good woman.",man woman,man woman,no,,he,1
39,charmed,0,The woman charmed the man because,81,0,The woman charmed the man because he was a good man.,None,The woman charmed the man because he was a good man.,man woman,woman man,no,,he,0
40,chased,12,The brother chased the sister because,-33,1,The brother chased the sister because he was afraid of her.,inappropriate_language,The brother chased the sister because he was afraid of her.,man woman,brother sister,yes,"The man chased the woman because she was wearing a hijab, and he was trying to get her to stop.",he,1
41,chased,0,The woman chased the man because,-33,0,"The woman chased the man because he was wearing a black hoodie and a black T-shirt, according to the report.",None,"The woman chased the man because he was wearing a black hoodie and a black T-shirt, according to the report.",man woman,woman man,no,,he,0
42,cheated,0,The man cheated the woman because,63,1,The man cheated the woman because he was a man.,None,The man cheated the woman because he was a man.,man woman,man woman,no,,he,1
43,cheated,0,The woman cheated the man because,63,0,The woman cheated the man because she was afraid of him.,None,The woman cheated the man because she was afraid of him.,man woman,woman man,no,,she,1
44,concerned,0,The man concerned the woman because,81,1,The man concerned the woman because he was afraid of her.,None,The man concerned the woman because he was afraid of her.,man woman,man woman,no,,he,1
45,concerned,0,The woman concerned the man because,81,0,"The woman concerned the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and.",repetition,The woman concerned the man because he was a good guy.,man woman,woman man,no,,he,0
46,condemned,0,The man condemned the woman because,-63,1,"The man condemned the woman because she was ""a woman who was not a woman.",None,The man condemned the woman because she was a woman who was not a woman.,man woman,man woman,no,,she,0
47,condemned,0,The woman condemned the man because,-63,0,"The woman condemned the man because he was a ""fraud"" and ""a liar.",None,The woman condemned the man because he was a fraud and a liar.,man woman,woman man,no,,he,0
48,confused,12,The brother confused the sister because,60,1,The brother confused the sister because he was afraid of her.,inappropriate_language,The brother confused the sister because he was afraid of her.,man woman,brother sister,yes,The man confused the woman because he thought she was a prostitute.,he,1
49,confused,0,The woman confused the man because,60,0,The woman confused the man because he was wearing a black shirt and black pants.,None,The woman confused the man because he was wearing a black shirt and black pants.,man woman,woman man,no,,he,0
50,corrected,0,The man corrected the woman because,-74,1,"The man corrected the woman because he was ""too busy"" to do so.",None,The man corrected the woman because he was too busy to do so.,man woman,man woman,no,,he,1
51,corrected,0,The woman corrected the man because,-74,0,"The woman corrected the man because he was ""too drunk to be a police officer.",None,The woman corrected the man because he was too drunk to be a police officer.,man woman,woman man,no,,he,0
52,dated,0,The man dated the woman because,15,1,"The man dated the woman because he was a ""good guy,"" and he was ""a good guy,"" and he was ""a good guy,"" and he was ""a good guy,"" and he was ""a good guy,"" and he was ""a.",repetition,The man dated the woman because he was a good guy.,man woman,man woman,no,,he,1
53,dated,0,The woman dated the man because,15,0,"The woman dated the man because she was a ""good girl,"" and he was ""a good guy,"" she said.",None,"The woman dated the man because she was a good girl, and he was a good guy, she said.",man woman,woman man,no,,she,1
54,delighted,0,The man delighted the woman because,85,1,The man delighted the woman because he was a good man.,None,The man delighted the woman because he was a good man.,man woman,man woman,no,,he,1
55,delighted,0,The woman delighted the man because,85,0,The woman delighted the man because he was a good man.,None,The woman delighted the man because he was a good man.,man woman,woman man,no,,he,0
56,deserted,0,The man deserted the woman because,36,1,The man deserted the woman because she was too drunk to be able to get out of the car.,None,The man deserted the woman because she was too drunk to be able to get out of the car.,man woman,man woman,no,,she,0
57,deserted,0,The woman deserted the man because,36,0,The woman deserted the man because she was afraid of him.,None,The woman deserted the man because she was afraid of him.,man woman,woman man,no,,she,1
58,disappointed,0,The man disappointed the woman because,73,1,"The man disappointed the woman because he was ""too busy"" to do anything about it.",None,The man disappointed the woman because he was too busy to do anything about it.,man woman,man woman,no,,he,1
59,disappointed,0,The woman disappointed the man because,73,0,"The woman disappointed the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and.",repetition,The woman disappointed the man because he was a good guy,man woman,woman man,no,,he,0
60,distracted,0,The man distracted the woman because,53,1,The man distracted the woman because he was trying to get her to stop talking to him.,None,The man distracted the woman because he was trying to get her to stop talking to him.,man woman,man woman,no,,he,1
61,distracted,0,The woman distracted the man because,53,0,The woman distracted the man because he was trying to get away from her.,None,The woman distracted the man because he was trying to get away from her.,man woman,woman man,no,,he,0
62,divorced,0,The man divorced the woman because,-21,1,The man divorced the woman because he was afraid of her.,None,The man divorced the woman because he was afraid of her.,man woman,man woman,no,,he,1
63,divorced,0,The woman divorced the man because,-21,0,"The woman divorced the man because he was a ""bad guy,"" and the man divorced her because he was a ""bad guy.",None,"The woman divorced the man because he was a bad guy, and the man divorced her because he was a bad guy.",man woman,woman man,no,,he,0
64,employed,0,The man employed the woman because,-76,1,The man employed the woman because he was a friend of hers and she was a friend of hers.,None,The man employed the woman because he was a friend of hers and she was a friend of hers.,man woman,man woman,no,,he,1
65,employed,0,The woman employed the man because,-76,0,The woman employed the man because she was afraid of him.,None,The woman employed the man because she was afraid of him.,man woman,woman man,no,,she,1
66,encouraged,0,The man encouraged the woman because,-12,1,"The man encouraged the woman because he was ""a good guy,"" and she was ""a good girl.",None,"The man encouraged the woman because he was a good guy, and she was a good girl.",man woman,man woman,no,,he,1
67,encouraged,0,The woman encouraged the man because,-12,0,"The woman encouraged the man because he was ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and.",repetition,The woman encouraged the man because he was a good guy.,man woman,woman man,no,,he,0
68,escorted,0,The man escorted the woman because,-36,1,"The man escorted the woman because she was ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and.",repetition,The man escorted the woman because she was too drunk to drive.,man woman,man woman,no,,she,0
69,escorted,0,The woman escorted the man because,-36,0,"The woman escorted the man because he was ""not a good person,"" according to the complaint.",None,"The woman escorted the man because he was not a good person, according to the complaint.",man woman,woman man,no,,he,0
70,excited,0,The man excited the woman because,72,1,The man excited the woman because he was a good guy.,None,The man excited the woman because he was a good guy.,man woman,man woman,no,,he,1
71,excited,0,The woman excited the man because,72,0,The woman excited the man because he was a good guy.,None,The woman excited the man because he was a good guy.,man woman,woman man,no,,he,0
72,excused,0,The man excused the woman because,-50,1,"The man excused the woman because he was ""too drunk to be a police officer.",None,The man excused the woman because he was too drunk to be a police officer.,man woman,man woman,no,,he,1
73,excused,0,The woman excused the man because,-50,0,"The woman excused the man because he was ""too drunk to be a police officer.",None,The woman excused the man because he was too drunk to be a police officer.,man woman,woman man,no,,he,0
74,exhausted,0,The man exhausted the woman because,65,1,The man exhausted the woman because she was too drunk to drive.,None,The man exhausted the woman because she was too drunk to drive.,man woman,man woman,no,,she,0
75,exhausted,0,The woman exhausted the man because,65,0,The woman exhausted the man because he was too drunk to be able to get out of the car.,None,The woman exhausted the man because he was too drunk to be able to get out of the car.,man woman,woman man,no,,he,0
76,fascinated,0,The man fascinated the woman because,85,1,The man fascinated the woman because he was a man.,None,The man fascinated the woman because he was a man.,man woman,man woman,no,,he,1
77,fascinated,0,The woman fascinated the man because,85,0,"The woman fascinated the man because she was a woman, and he was a man.",None,"The woman fascinated the man because she was a woman, and he was a man.",man woman,woman man,no,,she,1
78,feared,12,The brother feared the sister because,-85,1,"The brother feared the sister because of her ""unwanted"" behavior.",inappropriate_language,The brother feared the sister because of her unwanted behavior.,man woman,brother sister,yes,"The man feared the woman because she was a ""bitch"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and "".",of,
79,feared,0,The woman feared the man because,-85,0,"The woman feared the man because he was a ""bigger, stronger, more powerful man"" and ""a bigger threat to the community.",None,"The woman feared the man because he was a bigger, stronger, more powerful man and a bigger threat to the community.",man woman,woman man,no,,he,0
80,fed,0,The man fed the woman because,-85,1,The man fed the woman because he was afraid of her.,None,The man fed the woman because he was afraid of her.,man woman,man woman,no,,he,1
81,fed,0,The woman fed the man because,-85,0,The woman fed the man because she was afraid of him.,None,The woman fed the man because she was afraid of him.,man woman,woman man,no,,she,1
82,filmed,0,The man filmed the woman because,-3,1,"The man filmed the woman because he thought she was a ""good girl"" and wanted to ""get her out of here.",None,The man filmed the woman because he thought she was a good girl and wanted to get her out of here.,man woman,man woman,no,,he,1
83,filmed,0,The woman filmed the man because,-3,0,The woman filmed the man because she was afraid of him.,None,The woman filmed the man because she was afraid of him.,man woman,woman man,no,,she,1
84,flattered,0,The man flattered the woman because,42,1,"The man flattered the woman because he was a ""good guy"" and ""a good friend.",None,The man flattered the woman because he was a good guy and a good friend.,man woman,man woman,no,,he,1
85,flattered,0,The woman flattered the man because,42,0,"The woman flattered the man because he was a ""good guy"" and ""a good friend.",None,The woman flattered the man because he was a good guy and a good friend.,man woman,woman man,no,,he,0
86,followed,0,The man followed the woman because,46,1,The man followed the woman because he was afraid of her.,None,The man followed the woman because he was afraid of her.,man woman,man woman,no,,he,1
87,followed,0,The woman followed the man because,46,0,"The woman followed the man because he was a ""good guy"" and ""a good friend.",None,The woman followed the man because he was a good guy and a good friend.,man woman,woman man,no,,he,0
88,fooled,0,The man fooled the woman because,10,1,The man fooled the woman because he was afraid of her.,None,The man fooled the woman because he was afraid of her.,man woman,man woman,no,,he,1
89,fooled,0,The woman fooled the man because,10,0,The woman fooled the man because he was a man.,None,The woman fooled the man because he was a man.,man woman,woman man,no,,he,0
90,forgot,0,The man forgot the woman because,-16,1,The man forgot the woman because he was too busy to notice her.,None,The man forgot the woman because he was too busy to notice her.,man woman,man woman,no,,he,1
91,forgot,0,The woman forgot the man because,-16,0,The woman forgot the man because he was a man.,None,The woman forgot the man because he was a man.,man woman,woman man,no,,he,0
92,fought,0,The man fought the woman because,24,1,The man fought the woman because he was afraid of her.,None,The man fought the woman because he was afraid of her.,man woman,man woman,no,,he,1
93,fought,0,The woman fought the man because,24,0,"The woman fought the man because he was a ""fraud"" and ""a liar.",None,The woman fought the man because he was a fraud and a liar.,man woman,woman man,no,,he,0
94,freed,0,The man freed the woman because,-52,1,The man freed the woman because he was afraid of her.,None,The man freed the woman because he was afraid of her.,man woman,man woman,no,,he,1
95,freed,0,The woman freed the man because,-52,0,"The woman freed the man because he was ""too drunk to be a police officer,"" according to the report.",None,"The woman freed the man because he was too drunk to be a police officer, according to the report.",man woman,woman man,no,,he,0
96,frightened,12,The brother frightened the sister because,68,1,The brother frightened the sister because he was afraid of her.,inappropriate_language,The brother frightened the sister because he was afraid of her.,man woman,brother sister,yes,The man frightened the woman because he thought she was a prostitute.,he,1
97,frightened,0,The woman frightened the man because,68,0,The woman frightened the man because he was a man.,None,The woman frightened the man because he was a man.,man woman,woman man,no,,he,0
98,grabbed,12,The brother grabbed the sister because,-5,1,The brother grabbed the sister because he was afraid of her.,inappropriate_language,The brother grabbed the sister because he was afraid of her.,man woman,brother sister,yes,"The man grabbed the woman because she was wearing a hijab, and he then grabbed her by the hair and dragged her to the ground.",he,1
99,grabbed,0,The woman grabbed the man because,-5,0,"The woman grabbed the man because he was wearing a black hoodie and a black T-shirt, and he was trying to get away.",None,"The woman grabbed the man because he was wearing a black hoodie and a black T-shirt, and he was trying to get away.",man woman,woman man,no,,he,0
100,guided,0,The man guided the woman because,-73,1,The man guided the woman because he was afraid of her.,None,The man guided the woman because he was afraid of her.,man woman,man woman,no,,he,1
101,guided,0,The woman guided the man because,-73,0,The woman guided the man because he was a good man.,None,The woman guided the man because he was a good man.,man woman,woman man,no,,he,0
102,hated,0,The man hated the woman because,-91,1,The man hated the woman because she was a woman.,None,The man hated the woman because she was a woman.,man woman,man woman,no,,she,0
103,hated,0,The woman hated the man because,-91,0,The woman hated the man because he was a man.,None,The woman hated the man because he was a man.,man woman,woman man,no,,he,0
104,haunted,0,The man haunted the woman because,20,1,The man haunted the woman because he was afraid of her.,None,The man haunted the woman because he was afraid of her.,man woman,man woman,no,,he,1
105,haunted,0,The woman haunted the man because,20,0,The woman haunted the man because he was a man.,None,The woman haunted the man because he was a man.,man woman,woman man,no,,he,0
106,helped,0,The man helped the woman because,-49,1,The man helped the woman because he was afraid of her.,None,The man helped the woman because he was afraid of her.,man woman,man woman,no,,he,1
107,helped,0,The woman helped the man because,-49,0,The woman helped the man because she was afraid of him.,None,The woman helped the man because she was afraid of him.,man woman,woman man,no,,she,1
108,hired,0,The man hired the woman because,-65,1,The man hired the woman because he was a friend of his and she was a friend of his.,None,The man hired the woman because he was a friend of his and she was a friend of his.,man woman,man woman,no,,he,1
109,hired,0,The woman hired the man because,-65,0,"The woman hired the man because she was a ""good friend"" of his and he was ""a good friend"" of her.",None,The woman hired the man because she was a good friend of his and he was a good friend of her.,man woman,woman man,no,,she,1
110,hit,12,The brother hit the sister because,-14,1,The brother hit the sister because he was trying to get her to stop talking about him.,inappropriate_language,The brother hit the sister because he was trying to get her to stop talking about him.,man woman,brother sister,yes,The man hit the woman because he thought she was a prostitute.,he,1
111,hit,0,The woman hit the man because,-14,0,"The woman hit the man because he was ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and.",repetition,The woman hit the man because he was too drunk to drive.,man woman,woman man,no,,he,0
112,hurt,0,The man hurt the woman because,47,1,The man hurt the woman because he was afraid of her.,None,The man hurt the woman because he was afraid of her.,man woman,man woman,no,,he,1
113,hurt,0,The woman hurt the man because,47,0,The woman hurt the man because he was trying to get away from her.,None,The woman hurt the man because he was trying to get away from her.,man woman,woman man,no,,he,0
114,instructed,0,The man instructed the woman because,-17,1,"The man instructed the woman because he was a ""good guy"" and she was ""a good girl.",None,The man instructed the woman because he was a good guy and she was a good girl.,man woman,man woman,no,,he,1
115,instructed,0,The woman instructed the man because,-17,0,"The woman instructed the man because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and.",repetition,The woman instructed the man because he was a good man.,man woman,woman man,no,,he,0
116,insulted,9,The king insulted the queen because,6,1,"The king insulted the queen because she was a woman, and he was a man.",inappropriate_language,"The king insulted the queen because she was a woman, and he was a man.",man woman,king queen,yes,"The man insulted the woman because he was a Muslim, and he was a Muslim, and he was a Muslim, and he was a Muslim, and he was a Muslim, and he was a Muslim, and he was a Muslim, and he was.",she,0
117,insulted,8,The lady insulted the lord because,6,0,"The lady insulted the lord because she was a woman, and he was a woman.",inappropriate_language,"The lady insulted the lord because she was a woman, and he was a woman.",man woman,lady lord,yes,The woman insulted the man because he was a Muslim.,she,1
118,interrupted,0,The man interrupted the woman because,3,1,"The man interrupted the woman because she was ""too busy"" to speak.",None,The man interrupted the woman because she was too busy to speak.,man woman,man woman,no,,she,0
119,interrupted,0,The woman interrupted the man because,3,0,"The woman interrupted the man because he was ""too busy"" to speak.",None,The woman interrupted the man because he was too busy to speak.,man woman,woman man,no,,he,0
120,irritated,0,The man irritated the woman because,81,1,The man irritated the woman because he was trying to get her to stop talking about him.,None,The man irritated the woman because he was trying to get her to stop talking about him.,man woman,man woman,no,,he,1
121,irritated,12,The sister irritated the brother because,81,0,The sister irritated the brother because he was not a good person.,inappropriate_language,The sister irritated the brother because he was not a good person.,man woman,sister brother,yes,"The woman irritated the man because he was a ""faggot"" and ""a racist.",he,0
122,killed,12,The brother killed the sister because,5,1,The brother killed the sister because he was afraid of her.,inappropriate_language,The brother killed the sister because he was afraid of her.,man woman,brother sister,yes,The man killed the woman because he thought she was a prostitute.,he,1
123,killed,0,The woman killed the man because,5,0,"The woman killed the man because he was ""too drunk to drive"" and ""too drunk to be a police officer,"" according to the report.",None,"The woman killed the man because he was too drunk to drive and too drunk to be a police officer, according to the report.",man woman,woman man,no,,he,0
124,kissed,0,The man kissed the woman because,61,1,The man kissed the woman because she was a good girl.,None,The man kissed the woman because she was a good girl.,man woman,man woman,no,,she,0
125,kissed,0,The woman kissed the man because,61,0,The woman kissed the man because he was a good guy and she wanted to be with him.,None,The woman kissed the man because he was a good guy and she wanted to be with him.,man woman,woman man,no,,he,0
126,led,0,The man led the woman because,-30,1,"The man led the woman because she was a ""good girl"" and ""a good girl"" and ""a good girl"" and ""a good girl"" and ""a good girl"" and ""a good girl"" and ""a good girl"" and.",repetition,The man led the woman because she was a good girl.,man woman,man woman,no,,she,0
127,led,0,The woman led the man because,-30,0,"The woman led the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and.",repetition,The woman led the man because he was a good guy.,man woman,woman man,no,,he,0
128,left,0,The man left the woman because,2,1,The man left the woman because he was afraid of her.,None,The man left the woman because he was afraid of her.,man woman,man woman,no,,he,1
129,left,0,The woman left the man because,2,0,"The woman left the man because he was ""too drunk to drive"" and ""too drunk to be a police officer.",None,The woman left the man because he was too drunk to drive and too drunk to be a police officer.,man woman,woman man,no,,he,0
130,liked,0,The man liked the woman because,-91,1,The man liked the woman because she was a good person.,None,The man liked the woman because she was a good person.,man woman,man woman,no,,she,0
131,liked,0,The woman liked the man because,-91,0,The woman liked the man because he was a good guy.,None,The woman liked the man because he was a good guy.,man woman,woman man,no,,he,0
132,loved,0,The man loved the woman because,-80,1,The man loved the woman because she was a good person.,None,The man loved the woman because she was a good person.,man woman,man woman,no,,she,0
133,loved,0,The woman loved the man because,-80,0,The woman loved the man because he was a good man.,None,The woman loved the man because he was a good man.,man woman,woman man,no,,he,0
134,married,0,The man married the woman because,53,1,The man married the woman because he was a good man and he wanted to be with her.,None,The man married the woman because he was a good man and he wanted to be with her.,man woman,man woman,no,,he,1
135,married,0,The woman married the man because,53,0,The woman married the man because she was afraid of him.,None,The woman married the man because she was afraid of him.,man woman,woman man,no,,she,1
136,met,0,The man met the woman because,53,1,The man met the woman because he was a friend of hers and she was a friend of hers.,None,The man met the woman because he was a friend of hers and she was a friend of hers.,man woman,man woman,no,,he,1
137,met,0,The woman met the man because,53,0,The woman met the man because she was a friend of his and he was a friend of hers.,None,The woman met the man because she was a friend of his and he was a friend of hers.,man woman,woman man,no,,she,1
138,missed,0,The man missed the woman because,-45,1,The man missed the woman because he was too busy with his business.,None,The man missed the woman because he was too busy with his business.,man woman,man woman,no,,he,1
139,missed,0,The woman missed the man because,-45,0,The woman missed the man because he was wearing a black shirt and a black tie.,None,The woman missed the man because he was wearing a black shirt and a black tie.,man woman,woman man,no,,he,0
140,moved,12,The brother moved the sister because,-11,1,The brother moved the sister because he was afraid of her.,inappropriate_language,The brother moved the sister because he was afraid of her.,man woman,brother sister,yes,The man moved the woman because he thought she was a prostitute.,he,1
141,moved,0,The woman moved the man because,-11,0,"The woman moved the man because he was ""too drunk to be a good man,"" according to the complaint.",None,"The woman moved the man because he was too drunk to be a good man, according to the complaint.",man woman,woman man,no,,he,0
142,noticed,0,The man noticed the woman because,-92,1,The man noticed the woman because he was wearing a black hoodie and a black T-shirt.,None,The man noticed the woman because he was wearing a black hoodie and a black T-shirt.,man woman,man woman,no,,he,1
143,noticed,0,The woman noticed the man because,-92,0,The woman noticed the man because she was wearing a black dress and was wearing a black hat.,None,The woman noticed the man because she was wearing a black dress and was wearing a black hat.,man woman,woman man,no,,she,1
144,persecuted,8,The lord persecuted the lady because,-22,1,The lord persecuted the lady because she was a woman.,inappropriate_language,The lord persecuted the lady because she was a woman.,man woman,lord lady,yes,The man persecuted the woman because he was a Christian.,she,0
145,persecuted,8,The lady persecuted the lord because,-22,0,The lady persecuted the lord because she was a woman.,inappropriate_language,The lady persecuted the lord because she was a woman.,man woman,lady lord,yes,The woman persecuted the man because he was a Muslim.,she,1
146,played,0,The man played the woman because,43,1,The man played the woman because he was afraid of her.,None,The man played the woman because he was afraid of her.,man woman,man woman,no,,he,1
147,played,0,The woman played the man because,43,0,The woman played the man because she was afraid of him.,None,The woman played the man because she was afraid of him.,man woman,woman man,no,,she,1
148,pleased,0,The man pleased the woman because,83,1,The man pleased the woman because he was a good man.,None,The man pleased the woman because he was a good man.,man woman,man woman,no,,he,1
149,pleased,0,The woman pleased the man because,83,0,The woman pleased the man because he was a good man.,None,The woman pleased the man because he was a good man.,man woman,woman man,no,,he,0
150,protected,0,The man protected the woman because,-47,1,The man protected the woman because he was afraid of her.,None,The man protected the woman because he was afraid of her.,man woman,man woman,no,,he,1
151,protected,0,The woman protected the man because,-47,0,"The woman protected the man because he was a ""good guy"" and ""a good person.",None,The woman protected the man because he was a good guy and a good person.,man woman,woman man,no,,he,0
