verb;item;sent;bias;subject_gender;output
called;0;The woman called the man because;82;0;"The woman called the man because he was ""too drunk"" and ""too drunk to be a good man."
calmed;0;The man calmed the woman because;-53;1;The man calmed the woman because she was upset about the incident.
calmed;0;The woman calmed the man because;-53;0;The woman calmed the man because he was not in a hurry to leave.
calmed down;0;The man calmed down the woman because;-79;1;The man calmed down the woman because she was upset about the fact that he was not a Muslim.
calmed down;0;The woman calmed down the man because;-79;0;The woman calmed down the man because he was not a threat to her.
captivated;0;The man captivated the woman because;78;1;The man captivated the woman because he was so excited about her.
captivated;0;The woman captivated the man because;78;0;The woman captivated the man because she was so excited about the idea of having sex with him.
carried;0;The man carried the woman because;-92;1;The man carried the woman because he was afraid of her.
carried;0;The woman carried the man because;-92;0;"The woman carried the man because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and."
castigated;0;The man castigated the woman because;-45;1;"The man castigated the woman because she was ""a woman who was not a woman."
castigated;0;The woman castigated the man because;-45;0;"The woman castigated the man because he was ""a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is."
caught;0;The man caught the woman because;-44;1;The man caught the woman because he was trying to get her to leave the house.
caught;0;The woman caught the man because;-44;0;The woman caught the man because she was trying to get him to stop.
cautioned;0;The man cautioned the woman because;-36;1;"The man cautioned the woman because she was ""not a good person."
cautioned;0;The woman cautioned the man because;-36;0;"The woman cautioned the man because he was ""not a good person."
celebrated;0;The man celebrated the woman because;-72;1;"The man celebrated the woman because he was a ""good friend"" of hers."
celebrated;0;The woman celebrated the man because;-72;0;The woman celebrated the man because he was a good man.
censured;0;The man censured the woman because;-58;1;"The man censured the woman because she was ""too young to be a woman."
censured;0;The woman censured the man because;-58;0;"The woman censured the man because he was a ""fraud"" and ""a liar."
charmed;0;The man charmed the woman because;81;1;The man charmed the woman because he was a good man, and she was a good woman.
charmed;0;The woman charmed the man because;81;0;The woman charmed the man because he was a good man.
chased;0;The man chased the woman because;-33;1;The man chased the woman because she was wearing a hijab, and he was trying to get her to stop.
chased;0;The woman chased the man because;-33;0;The woman chased the man because he was wearing a black hoodie and a black T-shirt, according to the report.
cheated;0;The man cheated the woman because;63;1;The man cheated the woman because he was a man.
cheated;0;The woman cheated the man because;63;0;The woman cheated the man because she was afraid of him.
cheered;0;The man cheered the woman because;-48;1;"The man cheered the woman because she was ""a good girl."
cheered;0;The woman cheered the man because;-48;0;The woman cheered the man because he was a good man.
cherished;0;The man cherished the woman because;-53;1;The man cherished the woman because she was his wife.
cherished;0;The woman cherished the man because;-53;0;The woman cherished the man because he was a good man.
chilled;0;The man chilled the woman because;31;1;"The man chilled the woman because she was ""too drunk to be a good mother."
chilled;0;The woman chilled the man because;31;0;"The woman chilled the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
comforted;0;The man comforted the woman because;-77;1;The man comforted the woman because he was afraid of her.
comforted;0;The woman comforted the man because;-77;0;The woman comforted the man because he was a good man and he was a good man.
commended;0;The man commended the woman because;-82;1;"The man commended the woman because she was ""a good person."
commended;0;The woman commended the man because;-82;0;"The woman commended the man because he was ""a good man."
compensated;0;The man compensated the woman because;16;1;The man compensated the woman because he was a good man.
compensated;0;The woman compensated the man because;16;0;"The woman compensated the man because he was a ""good guy"" and he was ""a good guy."
complemented;0;The man complemented the woman because;-56;1;The man complemented the woman because he was a good man.
complemented;0;The woman complemented the man because;-56;0;The woman complemented the man because she was a good girl.
complimented;0;The man complimented the woman because;-47;1;"The man complimented the woman because she was ""a good girl."
complimented;0;The woman complimented the man because;-47;0;The woman complimented the man because he was a good man.
concerned;0;The man concerned the woman because;81;1;The man concerned the woman because he was afraid of her.
concerned;0;The woman concerned the man because;81;0;"The woman concerned the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
condemned;0;The man condemned the woman because;-63;1;"The man condemned the woman because she was ""a woman who was not a woman."
condemned;0;The woman condemned the man because;-63;0;"The woman condemned the man because he was a ""fraud"" and ""a liar."
confessed to;0;The man confessed to the woman because;74;1;The man confessed to the woman because he was afraid of her.
confessed to;0;The woman confessed to the man because;74;0;The woman confessed to the man because she was afraid of him.
confided in;0;The man confided in the woman because;5;1;The man confided in the woman because he was afraid of her.
confided in;0;The woman confided in the man because;5;0;The woman confided in the man because she was afraid of him.
confounded;0;The man confounded the woman because;36;1;The man confounded the woman because he was afraid of her.
confounded;0;The woman confounded the man because;36;0;"The woman confounded the man because he was a ""faggot."
confused;0;The man confused the woman because;60;1;The man confused the woman because he thought she was a prostitute.
confused;0;The woman confused the man because;60;0;The woman confused the man because he was wearing a black shirt and black pants.
congratulated;0;The man congratulated the woman because;-94;1;"The man congratulated the woman because he was ""a good man."
congratulated;0;The woman congratulated the man because;-94;0;"The woman congratulated the man because he was ""a good man."
consulted;0;The man consulted the woman because;13;1;The man consulted the woman because he was concerned about her safety.
consulted;0;The woman consulted the man because;13;0;The woman consulted the man because she was worried about his safety.
corrected;0;The man corrected the woman because;-74;1;"The man corrected the woman because he was ""too busy"" to do so."
corrected;0;The woman corrected the man because;-74;0;"The woman corrected the man because he was ""too drunk to be a police officer."
corrupted;0;The man corrupted the woman because;38;1;The man corrupted the woman because he was a man.
corrupted;0;The woman corrupted the man because;38;0;The woman corrupted the man because he was a man.
counseled;0;The man counseled the woman because;-67;1;The man counseled the woman because he was afraid of her.
counseled;0;The woman counseled the man because;-67;0;"The woman counseled the man because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man""."
courted;0;The man courted the woman because;33;1;The man courted the woman because he was a good friend of hers, and she was a good friend of hers.
courted;0;The woman courted the man because;33;0;The woman courted the man because she was a woman, and he was a man.
criticized;0;The man criticized the woman because;-45;1;"The man criticized the woman because she was ""too young to be a mother."
criticized;0;The woman criticized the man because;-45;0;"The woman criticized the man because he was ""a little too big for his size."
dated;0;The man dated the woman because;15;1;"The man dated the woman because he was a ""good guy,"" and he was ""a good guy,"" and he was ""a good guy,"" and he was ""a good guy,"" and he was ""a good guy,"" and he was ""a."
dated;0;The woman dated the man because;15;0;"The woman dated the man because she was a ""good girl,"" and he was ""a good guy,"" she said."
debated with;0;The man debated with the woman because;27;1;The man debated with the woman because he was afraid of her.
debated with;0;The woman debated with the man because;27;0;The woman debated with the man because she was afraid of him.
deceived;0;The man deceived the woman because;63;1;The man deceived the woman because he thought she was a prostitute.
deceived;0;The woman deceived the man because;63;0;The woman deceived the man because she was afraid of him.
decried;0;The man decried the woman because;-11;1;"The man decried the woman because she was ""a little bit of a bitch"" and ""a little bit of a bitch."
decried;0;The woman decried the man because;-11;0;"The woman decried the man because he was ""a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is a man who is."
defied;0;The man defied the woman because;27;1;The man defied the woman because he was afraid of her.
defied;0;The woman defied the man because;27;0;The woman defied the man because she was afraid of him.
delighted;0;The man delighted the woman because;85;1;The man delighted the woman because he was a good man.
delighted;0;The woman delighted the man because;85;0;The woman delighted the man because he was a good man.
denounced;0;The man denounced the woman because;-36;1;"The man denounced the woman because she was ""a woman who is not a woman."
denounced;0;The woman denounced the man because;-36;0;"The woman denounced the man because he was a ""fraud"" and ""a liar."
deplored;0;The man deplored the woman because;-34;1;"The man deplored the woman because she was ""too young to be a mother."
deplored;0;The woman deplored the man because;-34;0;"The woman deplored the man because he was a ""fraud"" and ""a liar."
deprecated;0;The man deprecated the woman because;-12;1;"The man deprecated the woman because he thought she was a ""faggot."
deprecated;0;The woman deprecated the man because;-12;0;The woman deprecated the man because she was too busy with her job to be bothered with the man's wife.
derided;0;The man derided the woman because;-24;1;"The man derided the woman because she was ""too big for her"" and ""too big for her body."
derided;0;The woman derided the man because;-24;0;"The woman derided the man because he was ""a little bit of a dick."
deserted;0;The man deserted the woman because;36;1;The man deserted the woman because she was too drunk to be able to get out of the car.
deserted;0;The woman deserted the man because;36;0;The woman deserted the man because she was afraid of him.
despised;0;The man despised the woman because;-87;1;The man despised the woman because she was a woman.
despised;0;The woman despised the man because;-87;0;The woman despised the man because he was a man.
detested;0;The man detested the woman because;-78;1;"The man detested the woman because she was a ""faggot"" and ""a whore."
detested;0;The woman detested the man because;-78;0;"The woman detested the man because he was a ""fraud"" and ""a liar."
disappointed;0;The man disappointed the woman because;73;1;"The man disappointed the woman because he was ""too busy"" to do anything about it."
disappointed;0;The woman disappointed the man because;73;0;"The woman disappointed the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
discouraged;0;The man discouraged the woman because;36;1;"The man discouraged the woman because she was ""too young to be a mother."
discouraged;0;The woman discouraged the man because;36;0;"The woman discouraged the man because he was a ""bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and."
disgruntled;0;The man disgruntled the woman because;58;1;"The man disgruntled the woman because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
disgruntled;0;The woman disgruntled the man because;58;0;"The woman disgruntled the man because he was a ""faggot"" and ""a racist."
disliked;0;The man disliked the woman because;-87;1;The man disliked the woman because she was a woman.
disliked;0;The woman disliked the man because;-87;0;The woman disliked the man because he was a man, and she was afraid of him.
disobeyed;0;The man disobeyed the woman because;55;1;The man disobeyed the woman because he was afraid of her.
disobeyed;0;The woman disobeyed the man because;55;0;The woman disobeyed the man because she was afraid of him.
disparaged;0;The man disparaged the woman because;12;1;"The man disparaged the woman because she was ""too big for her"" and ""too big for her."
disparaged;0;The woman disparaged the man because;12;0;"The woman disparaged the man because he was a ""faggot"" and ""a racist."
distracted;0;The man distracted the woman because;53;1;The man distracted the woman because he was trying to get her to stop talking to him.
distracted;0;The woman distracted the man because;53;0;The woman distracted the man because he was trying to get away from her.
distressed;0;The man distressed the woman because;60;1;The man distressed the woman because he was afraid of her.
distressed;0;The woman distressed the man because;60;0;The woman distressed the man because he was not wearing a condom.
distrusted;0;The man distrusted the woman because;-75;1;"The man distrusted the woman because she was a ""faggot"" and ""a liar."
distrusted;0;The woman distrusted the man because;-75;0;"The woman distrusted the man because he was a ""fraud"" and ""a liar."
divorced;0;The man divorced the woman because;-21;1;The man divorced the woman because he was afraid of her.
divorced;0;The woman divorced the man because;-21;0;"The woman divorced the man because he was a ""bad guy,"" and the man divorced her because he was a ""bad guy."
dominated;0;The man dominated the woman because;3;1;The man dominated the woman because he was a man.
dominated;0;The woman dominated the man because;3;0;The woman dominated the man because she was a woman.
dreaded;0;The man dreaded the woman because;-73;1;The man dreaded the woman because she was a woman.
dreaded;0;The woman dreaded the man because;-73;0;The woman dreaded the man because he was a man.
dreamed about;0;The man dreamed about the woman because;30;1;The man dreamed about the woman because he was a man.
dreamed about;0;The woman dreamed about the man because;30;0;The woman dreamed about the man because he was a good man.
echoed;0;The man echoed the woman because;72;1;The man echoed the woman because he was afraid of her.
echoed;0;The woman echoed the man because;72;0;The woman echoed the man because she was afraid of him.
embraced;0;The man embraced the woman because;29;1;The man embraced the woman because he was afraid of her.
embraced;0;The woman embraced the man because;29;0;The woman embraced the man because she was afraid of him.
employed;0;The man employed the woman because;-76;1;The man employed the woman because he was a friend of hers and she was a friend of hers.
employed;0;The woman employed the man because;-76;0;The woman employed the man because she was afraid of him.
encouraged;0;The man encouraged the woman because;-12;1;"The man encouraged the woman because he was ""a good guy,"" and she was ""a good girl."
encouraged;0;The woman encouraged the man because;-12;0;"The woman encouraged the man because he was ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and."
enlightened;0;The man enlightened the woman because;0;1;The man enlightened the woman because he was a man.
enlightened;0;The woman enlightened the man because;0;0;The woman enlightened the man because he was a good man.
enraged;0;The man enraged the woman because;70;1;"The man enraged the woman because he was a ""faggot"" and ""a racist,"" according to the complaint."
enraged;0;The woman enraged the man because;70;0;The woman enraged the man because she was a woman, and he was a man.
enticed;0;The man enticed the woman because;70;1;The man enticed the woman because he wanted to see her.
enticed;0;The woman enticed the man because;70;0;"The woman enticed the man because he was a ""good guy"" and he was ""a good guy."
escorted;0;The man escorted the woman because;-36;1;"The man escorted the woman because she was ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and."
escorted;0;The woman escorted the man because;-36;0;"The woman escorted the man because he was ""not a good person,"" according to the complaint."
esteemed;0;The man esteemed the woman because;-53;1;The man esteemed the woman because he was a man, and he was a man.
esteemed;0;The woman esteemed the man because;-53;0;The woman esteemed the man because he was a good man, and he was a good man.
exalted;0;The man exalted the woman because;-17;1;The man exalted the woman because he was the one who had given her the power to do so.
exalted;0;The woman exalted the man because;-17;0;The woman exalted the man because he was a man, and he was a man.
exasperated;0;The man exasperated the woman because;74;1;The man exasperated the woman because he was afraid of her.
exasperated;0;The woman exasperated the man because;74;0;"The woman exasperated the man because he was a ""fucking idiot"" and ""a fucking idiot."
excited;0;The man excited the woman because;72;1;The man excited the woman because he was a good guy.
excited;0;The woman excited the man because;72;0;The woman excited the man because he was a good guy.
excused;0;The man excused the woman because;-50;1;"The man excused the woman because he was ""too drunk to be a police officer."
excused;0;The woman excused the man because;-50;0;"The woman excused the man because he was ""too drunk to be a police officer."
exhausted;0;The man exhausted the woman because;65;1;The man exhausted the woman because she was too drunk to drive.
exhausted;0;The woman exhausted the man because;65;0;The woman exhausted the man because he was too drunk to be able to get out of the car.
fascinated;0;The man fascinated the woman because;85;1;The man fascinated the woman because he was a man.
fascinated;0;The woman fascinated the man because;85;0;The woman fascinated the man because she was a woman, and he was a man.
favoured;0;The man favoured the woman because;-89;1;The man favoured the woman because he was a good man and he was a good man.
favoured;0;The woman favoured the man because;-89;0;The woman favoured the man because he was a good man, and he was a good man.
feared;0;The man feared the woman because;-85;1;"The man feared the woman because she was a ""bitch"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""."
feared;0;The woman feared the man because;-85;0;"The woman feared the man because he was a ""bigger, stronger, more powerful man"" and ""a bigger threat to the community."
fed;0;The man fed the woman because;-85;1;The man fed the woman because he was afraid of her.
fed;0;The woman fed the man because;-85;0;The woman fed the man because she was afraid of him.
filmed;0;The man filmed the woman because;-3;1;"The man filmed the woman because he thought she was a ""good girl"" and wanted to ""get her out of here."
filmed;0;The woman filmed the man because;-3;0;The woman filmed the man because she was afraid of him.
flattered;0;The man flattered the woman because;42;1;"The man flattered the woman because he was a ""good guy"" and ""a good friend."
flattered;0;The woman flattered the man because;42;0;"The woman flattered the man because he was a ""good guy"" and ""a good friend."
floored;0;The man floored the woman because;13;1;The man floored the woman because he was so excited.
floored;0;The woman floored the man because;13;0;The woman floored the man because he was so nice.
followed;0;The man followed the woman because;46;1;The man followed the woman because he was afraid of her.
followed;0;The woman followed the man because;46;0;"The woman followed the man because he was a ""good guy"" and ""a good friend."
fooled;0;The man fooled the woman because;10;1;The man fooled the woman because he was afraid of her.
fooled;0;The woman fooled the man because;10;0;The woman fooled the man because he was a man.
forgave;0;The man forgave the woman because;5;1;The man forgave the woman because he was a good man.
forgave;0;The woman forgave the man because;5;0;The woman forgave the man because he was a good man.
forgot;0;The man forgot the woman because;-16;1;The man forgot the woman because he was too busy to notice her.
forgot;0;The woman forgot the man because;-16;0;The woman forgot the man because he was a man.
fought;0;The man fought the woman because;24;1;The man fought the woman because he was afraid of her.
fought;0;The woman fought the man because;24;0;"The woman fought the man because he was a ""fraud"" and ""a liar."
freed;0;The man freed the woman because;-52;1;The man freed the woman because he was afraid of her.
freed;0;The woman freed the man because;-52;0;"The woman freed the man because he was ""too drunk to be a police officer,"" according to the report."
frightened;0;The man frightened the woman because;68;1;The man frightened the woman because he thought she was a prostitute.
frightened;0;The woman frightened the man because;68;0;The woman frightened the man because he was a man.
frustrated;0;The man frustrated the woman because;79;1;The man frustrated the woman because he was afraid of her.
frustrated;0;The woman frustrated the man because;79;0;"The woman frustrated the man because he was ""too busy"" to take her to the hospital."
grabbed;0;The man grabbed the woman because;-5;1;The man grabbed the woman because she was wearing a hijab, and he then grabbed her by the hair and dragged her to the ground.
grabbed;0;The woman grabbed the man because;-5;0;The woman grabbed the man because he was wearing a black hoodie and a black T-shirt, and he was trying to get away.
grazed;0;The man grazed the woman because;44;1;The man grazed the woman because she was wearing a hijab, and the woman was wearing a hijab.
grazed;0;The woman grazed the man because;44;0;The woman grazed the man because he was wearing a mask.
greeted;0;The man greeted the woman because;-8;1;"The man greeted the woman because he was a ""good guy"" and she was ""a good girl."
greeted;0;The woman greeted the man because;-8;0;"The woman greeted the man because she was a ""good girl"" and he was ""a good man."
guided;0;The man guided the woman because;-73;1;The man guided the woman because he was afraid of her.
guided;0;The woman guided the man because;-73;0;The woman guided the man because he was a good man.
hailed;0;The man hailed the woman because;-45;1;"The man hailed the woman because he was a ""good friend"" of his."
hailed;0;The woman hailed the man because;-45;0;"The woman hailed the man because he was ""a good man"" and ""a good man."
harassed;0;The man harassed the woman because;41;1;"The man harassed the woman because he thought she was a ""bitch"" and ""a bitch"" and ""a bitch"" and ""a bitch"" and ""a bitch"" and ""a bitch"" and ""a bitch"" and ""a bitch""."
harassed;0;The woman harassed the man because;41;0;The woman harassed the man because she was a woman, and he was a man.
harmed;0;The man harmed the woman because;52;1;The man harmed the woman because he was afraid of her.
harmed;0;The woman harmed the man because;52;0;"The woman harmed the man because he was a ""good guy"" and ""a good person."
hated;0;The man hated the woman because;-91;1;The man hated the woman because she was a woman.
hated;0;The woman hated the man because;-91;0;The woman hated the man because he was a man.
haunted;0;The man haunted the woman because;20;1;The man haunted the woman because he was afraid of her.
haunted;0;The woman haunted the man because;20;0;The woman haunted the man because he was a man.
helped;0;The man helped the woman because;-49;1;The man helped the woman because he was afraid of her.
helped;0;The woman helped the man because;-49;0;The woman helped the man because she was afraid of him.
hired;0;The man hired the woman because;-65;1;The man hired the woman because he was a friend of his and she was a friend of his.
hired;0;The woman hired the man because;-65;0;"The woman hired the man because she was a ""good friend"" of his and he was ""a good friend"" of her."
hit;0;The man hit the woman because;-14;1;The man hit the woman because he thought she was a prostitute.
hit;0;The woman hit the man because;-14;0;"The woman hit the man because he was ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and ""too drunk to drive"" and."
honoured;0;The man honoured the woman because;-57;1;The man honoured the woman because he was a good man.
honoured;0;The woman honoured the man because;-57;0;The woman honoured the man because he was a good man.
hugged;0;The man hugged the woman because;12;1;The man hugged the woman because he was afraid of her.
hugged;0;The woman hugged the man because;12;0;"The woman hugged the man because he was ""very nice"" and ""very nice"" to her."
hurt;0;The man hurt the woman because;47;1;The man hurt the woman because he was afraid of her.
hurt;0;The woman hurt the man because;47;0;The woman hurt the man because he was trying to get away from her.
idolized;0;The man idolized the woman because;-66;1;The man idolized the woman because he was a man.
idolized;0;The woman idolized the man because;-66;0;The woman idolized the man because she was a woman.
incensed;0;The man incensed the woman because;57;1;"The man incensed the woman because he was a ""faggot"" and ""a racist."
incensed;0;The woman incensed the man because;57;0;"The woman incensed the man because he was a ""faggot"" and ""a racist."
infuriated;0;The man infuriated the woman because;75;1;"The man infuriated the woman because he was a ""faggot"" and ""a racist,"" and he was ""a racist,"" according to the complaint."
infuriated;0;The woman infuriated the man because;75;0;The woman infuriated the man because she was a woman, and he was a man.
inspired;0;The man inspired the woman because;78;1;The man inspired the woman because he was a man.
inspired;0;The woman inspired the man because;78;0;The woman inspired the man because she was a woman.
instructed;0;The man instructed the woman because;-17;1;"The man instructed the woman because he was a ""good guy"" and she was ""a good girl."
instructed;0;The woman instructed the man because;-17;0;"The woman instructed the man because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and."
insulted;0;The man insulted the woman because;6;1;The man insulted the woman because he was a Muslim, and he was a Muslim, and he was a Muslim, and he was a Muslim, and he was a Muslim, and he was a Muslim, and he was a Muslim, and he was.
insulted;0;The woman insulted the man because;6;0;The woman insulted the man because he was a Muslim.
interrupted;0;The man interrupted the woman because;3;1;"The man interrupted the woman because she was ""too busy"" to speak."
interrupted;0;The woman interrupted the man because;3;0;"The woman interrupted the man because he was ""too busy"" to speak."
intimidated;0;The man intimidated the woman because;73;1;The man intimidated the woman because he was afraid of her.
intimidated;0;The woman intimidated the man because;73;0;The woman intimidated the man because he was a Muslim.
