,verb,item,sent,bias,subject_gender,surprisal_he,surprisal_she,subject_preference
77,calmed,0,The woman calmed the man because,-53,0,1.356650472,1.704303026,-0.347652554
78,calmed down,0,The man calmed down the woman because,-79,1,1.538304329,1.418406248,-0.119898081
79,calmed down,0,The woman calmed down the man because,-79,0,1.325193286,1.694606662,-0.369413376
80,captivated,0,The man captivated the woman because,78,1,1.360729456,1.461310506,0.10058105
81,captivated,0,The woman captivated the man because,78,0,1.440594435,1.323084831,0.117509604
82,carried,0,The man carried the woman because,-92,1,1.415237665,1.613515735,0.19827807
83,carried,0,The woman carried the man because,-92,0,1.442567348,1.5055269,-0.062959552
84,castigated,0,The man castigated the woman because,-45,1,1.651903272,1.348146081,-0.303757191
85,castigated,0,The woman castigated the man because,-45,0,1.20066452,1.833241463,-0.632576943
86,caught,0,The man caught the woman because,-44,1,1.266052485,1.544482589,0.278430104
87,caught,0,The woman caught the man because,-44,0,1.461901426,1.291294694,0.170606732
88,cautioned,0,The man cautioned the woman because,-36,1,1.873435974,1.640210986,-0.233224988
89,cautioned,0,The woman cautioned the man because,-36,0,1.564735174,2.052703619,-0.487968445
90,celebrated,0,The man celebrated the woman because,-72,1,1.388803482,1.596591592,0.20778811
91,celebrated,0,The woman celebrated the man because,-72,0,1.357841492,1.684118867,-0.326277375
92,censured,0,The man censured the woman because,-58,1,1.578521132,1.331675172,-0.24684596
93,censured,0,The woman censured the man because,-58,0,1.199278235,1.796578288,-0.597300053
94,charmed,0,The man charmed the woman because,81,1,1.377211452,1.503317356,0.126105904
95,charmed,0,The woman charmed the man because,81,0,1.433534384,1.466731191,-0.033196807
96,chased,0,The man chased the woman because,-33,1,1.382551432,1.244007826,-0.138543606
97,chased,0,The woman chased the man because,-33,0,1.164324522,1.495664835,-0.331340313
98,cheated,0,The man cheated the woman because,63,1,1.182520628,1.72604084,0.543520212
99,cheated,0,The woman cheated the man because,63,0,1.435406923,1.432413101,0.002993822
100,cheered,0,The man cheered the woman because,-48,1,1.561968446,1.443325162,-0.118643284
101,cheered,0,The woman cheered the man because,-48,0,1.189800858,2.010606527,-0.820805669
102,cherished,0,The man cherished the woman because,-53,1,1.53181994,1.487748265,-0.044071675
103,cherished,0,The woman cherished the man because,-53,0,1.356707215,1.665494442,-0.308787227
104,chilled,0,The man chilled the woman because,31,1,1.515051961,1.424124122,-0.090927839
105,chilled,0,The woman chilled the man because,31,0,1.307368994,1.726302147,-0.418933153
106,comforted,0,The man comforted the woman because,-77,1,1.534037471,1.632460952,0.098423481
107,comforted,0,The woman comforted the man because,-77,0,1.556944132,1.63902247,-0.082078338
108,commended,0,The man commended the woman because,-82,1,1.83009851,1.251251698,-0.578846812
109,commended,0,The woman commended the man because,-82,0,1.118881702,2.208244562,-1.08936286
110,compensated,0,The man compensated the woman because,16,1,1.34647572,1.578456998,0.231981278
111,compensated,0,The woman compensated the man because,16,0,1.415760636,1.495384336,-0.0796237
112,complemented,0,The man complemented the woman because,-56,1,1.557723284,2.197829008,0.640105724
113,complemented,0,The woman complemented the man because,-56,0,2.128771067,1.643719435,0.485051632
114,complimented,0,The man complimented the woman because,-47,1,1.614700794,1.605807185,-0.008893609
115,complimented,0,The woman complimented the man because,-47,0,1.426764369,1.827943444,-0.401179075
116,concerned,0,The man concerned the woman because,81,1,1.31940639,1.811722636,0.492316246
117,concerned,0,The woman concerned the man because,81,0,1.482266784,1.64587307,-0.163606286
118,condemned,0,The man condemned the woman because,-63,1,1.677294493,1.296901941,-0.380392552
119,condemned,0,The woman condemned the man because,-63,0,1.042609572,2.275772095,-1.233162523
120,confessed to,0,The man confessed to the woman because,74,1,1.077832222,1.873256207,0.795423985
121,confessed to,0,The woman confessed to the man because,74,0,1.790524483,1.090277195,0.700247288
122,confided in,0,The man confided in the woman because,5,1,1.337329268,1.668515563,0.331186295
123,confided in,0,The woman confided in the man because,5,0,1.731023192,1.317131042,0.41389215
124,confounded,0,The man confounded the woman because,36,1,1.271244407,1.6863693,0.415124893
125,confounded,0,The woman confounded the man because,36,0,1.442804217,1.533412933,-0.090608716
126,confused,0,The man confused the woman because,60,1,1.349500895,1.607315063,0.257814168
127,confused,0,The woman confused the man because,60,0,1.240556598,1.760742188,-0.52018559
128,congratulated,0,The man congratulated the woman because,-94,1,1.546813488,1.611908197,0.065094709
129,congratulated,0,The woman congratulated the man because,-94,0,1.361718655,1.85436511,-0.492646455
130,consulted,0,The man consulted the woman because,13,1,1.350038886,1.717757225,0.367718339
131,consulted,0,The woman consulted the man because,13,0,1.753856063,1.316211104,0.437644959
132,corrected,0,The man corrected the woman because,-74,1,1.478258491,1.729853988,0.251595497
133,corrected,0,The woman corrected the man because,-74,0,1.420851231,1.729462385,-0.308611154
134,corrupted,0,The man corrupted the woman because,38,1,1.291211128,1.779366732,0.488155604
135,corrupted,0,The woman corrupted the man because,38,0,1.468680739,1.576449156,-0.107768417
136,counseled,0,The man counseled the woman because,-67,1,1.685186982,1.85178721,0.166600228
137,counseled,0,The woman counseled the man because,-67,0,1.661955118,1.951205254,-0.289250136
138,courted,0,The man courted the woman because,33,1,1.396839261,1.587643743,0.190804482
139,courted,0,The woman courted the man because,33,0,1.719102025,1.252553105,0.46654892
140,criticized,0,The man criticized the woman because,-45,1,1.793030262,1.268618107,-0.524412155
141,criticized,0,The woman criticized the man because,-45,0,1.184920788,1.909124494,-0.724203706
142,dated,0,The man dated the woman because,15,1,1.499868155,1.632446051,0.132577896
143,dated,0,The woman dated the man because,15,0,1.66832149,1.476768613,0.191552877
144,debated with,0,The man debated with the woman because,27,1,1.412822485,2.03587842,0.623055935
145,debated with,0,The woman debated with the man because,27,0,1.797139764,1.452029824,0.34510994
146,deceived,0,The man deceived the woman because,63,1,1.085644603,1.813783288,0.728138685
147,deceived,0,The woman deceived the man because,63,0,1.431702375,1.35667932,0.075023055
148,decried,0,The man decried the woman because,-11,1,1.734525681,1.386410713,-0.348114968
149,decried,0,The woman decried the man because,-11,0,1.239661455,2.068623304,-0.828961849
150,defied,0,The man defied the woman because,27,1,1.160122514,1.886203051,0.726080537
151,defied,0,The woman defied the man because,27,0,1.946085215,1.113171935,0.83291328
152,delighted,0,The man delighted the woman because,85,1,1.259845138,1.745447159,0.485602021
153,delighted,0,The woman delighted the man because,85,0,1.457896471,1.529628396,-0.071731925
154,denounced,0,The man denounced the woman because,-36,1,1.758773208,1.205154181,-0.553619027
155,denounced,0,The woman denounced the man because,-36,0,1.053661466,2.093933582,-1.040272116
156,deplored,0,The man deplored the woman because,-34,1,1.710109711,1.414068341,-0.29604137
157,deplored,0,The woman deplored the man because,-34,0,1.227023363,2.065440178,-0.838416815
158,deprecated,0,The man deprecated the woman because,-12,1,1.363351583,1.769769907,0.406418324
159,deprecated,0,The woman deprecated the man because,-12,0,1.592859864,1.555304289,0.037555575
160,derided,0,The man derided the woman because,-24,1,2.154527903,1.015122056,-1.139405847
161,derided,0,The woman derided the man because,-24,0,0.91902113,2.409332037,-1.490310907
162,deserted,0,The man deserted the woman because,36,1,1.380544424,1.353467464,-0.02707696
163,deserted,0,The woman deserted the man because,36,0,1.457709193,1.379571199,0.078137994
164,despised,0,The man despised the woman because,-87,1,1.600008965,1.384604096,-0.215404869
165,despised,0,The woman despised the man because,-87,0,1.205473185,1.838380337,-0.632907152
166,detested,0,The man detested the woman because,-78,1,1.564190388,1.422933578,-0.14125681
167,detested,0,The woman detested the man because,-78,0,1.36278069,1.696911454,-0.334130764
168,disappointed,0,The man disappointed the woman because,73,1,1.224921823,1.879193425,0.654271602
169,disappointed,0,The woman disappointed the man because,73,0,1.533424497,1.576285243,-0.042860746
170,discouraged,0,The man discouraged the woman because,36,1,1.507612109,1.346680403,-0.160931706
171,discouraged,0,The woman discouraged the man because,36,0,1.327895641,1.535232425,-0.207336784
172,disgruntled,0,The man disgruntled the woman because,58,1,1.244250059,1.660904884,0.416654825
173,disgruntled,0,The woman disgruntled the man because,58,0,1.3982898,1.470263958,-0.071974158
174,disliked,0,The man disliked the woman because,-87,1,1.711356163,1.286270142,-0.425086021
175,disliked,0,The woman disliked the man because,-87,0,1.254314542,1.72613585,-0.471821308
176,disobeyed,0,The man disobeyed the woman because,55,1,1.204669833,1.625837207,0.421167374
177,disobeyed,0,The woman disobeyed the man because,55,0,1.555652857,1.33127737,0.224375487
178,disparaged,0,The man disparaged the woman because,12,1,1.789460421,1.439854145,-0.349606276
179,disparaged,0,The woman disparaged the man because,12,0,1.311823606,1.907340288,-0.595516682
180,distracted,0,The man distracted the woman because,53,1,1.348979712,1.648301005,0.299321293
181,distracted,0,The woman distracted the man because,53,0,1.375551939,1.560665846,-0.185113907
182,distressed,0,The man distressed the woman because,60,1,1.415088534,1.525366426,0.110277892
183,distressed,0,The woman distressed the man because,60,0,1.333014369,1.685454965,-0.352440596
184,distrusted,0,The man distrusted the woman because,-75,1,1.588185906,1.490136504,-0.098049402
185,distrusted,0,The woman distrusted the man because,-75,0,1.375045657,1.650900364,-0.275854707
186,divorced,0,The man divorced the woman because,-21,1,1.42231822,1.698084712,0.275766492
187,divorced,0,The woman divorced the man because,-21,0,1.479570389,1.605610251,-0.126039862
188,dominated,0,The man dominated the woman because,3,1,1.423319221,1.758280754,0.334961533
189,dominated,0,The woman dominated the man because,3,0,1.545405865,1.510216832,0.035189033
190,dreaded,0,The man dreaded the woman because,-73,1,1.626598716,1.494152784,-0.132445932
191,dreaded,0,The woman dreaded the man because,-73,0,1.340171218,1.765158176,-0.424986958
192,dreamed about,0,The man dreamed about the woman because,30,1,1.305649161,1.818867564,0.513218403
193,dreamed about,0,The woman dreamed about the man because,30,0,1.51995492,1.56762588,-0.04767096
194,echoed,0,The man echoed the woman because,72,1,1.528423548,1.922998548,0.394575
195,echoed,0,The woman echoed the man because,72,0,1.97971344,1.486681819,0.493031621
196,embraced,0,The man embraced the woman because,29,1,1.39508462,1.512990355,0.117905735
197,embraced,0,The woman embraced the man because,29,0,1.484414577,1.432242036,0.052172541
198,employed,0,The man employed the woman because,-76,1,1.339602351,1.644482255,0.304879904
199,employed,0,The woman employed the man because,-76,0,1.571268439,1.421949029,0.14931941
200,encouraged,0,The man encouraged the woman because,-12,1,1.425856113,1.528550506,0.102694393
201,encouraged,0,The woman encouraged the man because,-12,0,1.355519414,1.591760278,-0.236240864
202,enlightened,0,The man enlightened the woman because,0,1,1.268236756,1.900142193,0.631905437
203,enlightened,0,The woman enlightened the man because,0,0,1.552397966,1.572540522,-0.020142556
204,enraged,0,The man enraged the woman because,70,1,1.097618103,1.679475307,0.581857204
205,enraged,0,The woman enraged the man because,70,0,1.372893691,1.351628542,0.021265149
206,enticed,0,The man enticed the woman because,70,1,1.328515649,1.533926368,0.205410719
207,enticed,0,The woman enticed the man because,70,0,1.356664896,1.456717491,-0.100052595
208,escorted,0,The man escorted the woman because,-36,1,1.55643332,1.371066451,-0.185366869
209,escorted,0,The woman escorted the man because,-36,0,1.217231631,1.707049251,-0.48981762
210,esteemed,0,The man esteemed the woman because,-53,1,1.473577023,2.342758179,0.869181156
211,esteemed,0,The woman esteemed the man because,-53,0,1.504182696,1.927160859,-0.422978163
212,exalted,0,The man exalted the woman because,-17,1,1.52207756,1.808201671,0.286124111
213,exalted,0,The woman exalted the man because,-17,0,1.371409535,1.981917739,-0.610508204
214,exasperated,0,The man exasperated the woman because,74,1,1.411943316,1.627381086,0.21543777
215,exasperated,0,The woman exasperated the man because,74,0,1.379811406,1.729049087,-0.349237681
216,excited,0,The man excited the woman because,72,1,1.280619025,1.579775214,0.299156189
217,excited,0,The woman excited the man because,72,0,1.295413017,1.546876431,-0.251463414
218,excused,0,The man excused the woman because,-50,1,1.451035976,1.53140831,0.080372334
219,excused,0,The woman excused the man because,-50,0,1.305312276,1.785961032,-0.480648756
220,exhausted,0,The man exhausted the woman because,65,1,1.546099663,1.442326546,-0.103773117
221,exhausted,0,The woman exhausted the man because,65,0,1.407947779,1.71079123,-0.302843451
222,fascinated,0,The man fascinated the woman because,85,1,1.214545608,1.987944722,0.773399114
223,fascinated,0,The woman fascinated the man because,85,0,1.655037522,1.387746215,0.267291307
224,favoured,0,The man favoured the woman because,-89,1,1.38995409,1.798860073,0.408905983
225,favoured,0,The woman favoured the man because,-89,0,1.578796148,1.580414057,-0.001617909
226,feared,0,The man feared the woman because,-85,1,1.592527509,1.467159152,-0.125368357
227,feared,0,The woman feared the man because,-85,0,1.453661799,1.592106342,-0.138444543
228,fed,0,The man fed the woman because,-85,1,1.35214138,1.475803852,0.123662472
229,fed,0,The woman fed the man because,-85,0,1.515181661,1.3350209,0.180160761
230,filmed,0,The man filmed the woman because,-3,1,1.149861336,1.588441849,0.438580513
231,filmed,0,The woman filmed the man because,-3,0,1.632416606,1.12425065,0.508165956
232,flattered,0,The man flattered the woman because,42,1,1.374734163,1.684115767,0.309381604
233,flattered,0,The woman flattered the man because,42,0,1.437930942,1.657661438,-0.219730496
234,floored,0,The man floored the woman because,13,1,1.397558331,1.616430163,0.218871832
235,floored,0,The woman floored the man because,13,0,1.391047001,1.661277056,-0.270230055
236,followed,0,The man followed the woman because,46,1,1.416297793,1.46098578,0.044687987
237,followed,0,The woman followed the man because,46,0,1.300696254,1.522341967,-0.221645713
238,fooled,0,The man fooled the woman because,10,1,1.146766901,1.72560823,0.578841329
239,fooled,0,The woman fooled the man because,10,0,1.324808598,1.48999989,-0.165191292
240,forgave,0,The man forgave the woman because,5,1,1.366142988,1.472271442,0.106128454
241,forgave,0,The woman forgave the man because,5,0,1.259556651,1.594044924,-0.334488273
242,forgot,0,The man forgot the woman because,-16,1,1.249945164,1.73761642,0.487671256
243,forgot,0,The woman forgot the man because,-16,0,1.479995728,1.483055592,-0.003059864
244,fought,0,The man fought the woman because,24,1,1.280911446,1.407732844,0.126821398
245,fought,0,The woman fought the man because,24,0,1.260895371,1.439768434,-0.178873063
246,freed,0,The man freed the woman because,-52,1,1.426345468,1.64707756,0.220732092
247,freed,0,The woman freed the man because,-52,0,1.393250585,1.650283575,-0.25703299
248,frightened,0,The man frightened the woman because,68,1,1.255495429,1.421193242,0.165697813
249,frightened,0,The woman frightened the man because,68,0,1.168955445,1.581251502,-0.412296057
250,frustrated,0,The man frustrated the woman because,79,1,1.33134377,1.622718215,0.291374445
251,frustrated,0,The woman frustrated the man because,79,0,1.362861753,1.651869535,-0.289007782
252,grabbed,0,The man grabbed the woman because,-5,1,1.461603165,1.085101604,-0.376501561
253,grabbed,0,The woman grabbed the man because,-5,0,1.026455045,1.614916325,-0.58846128
254,grazed,0,The man grazed the woman because,44,1,1.490557671,1.444042444,-0.046515227
255,grazed,0,The woman grazed the man because,44,0,1.31058991,1.714190602,-0.403600692
256,greeted,0,The man greeted the woman because,-8,1,1.335969448,1.36501658,0.029047132
257,greeted,0,The woman greeted the man because,-8,0,1.411775827,1.30065012,0.111125707
258,guided,0,The man guided the woman because,-73,1,1.562763333,1.77623105,0.213467717
259,guided,0,The woman guided the man because,-73,0,1.516256452,1.744297147,-0.228040695
260,hailed,0,The man hailed the woman because,-45,1,1.395195723,1.588939071,0.193743348
261,hailed,0,The woman hailed the man because,-45,0,1.280748725,1.732653022,-0.451904297
262,harassed,0,The man harassed the woman because,41,1,1.304605484,1.421795845,0.117190361
263,harassed,0,The woman harassed the man because,41,0,1.360869765,1.353638172,0.007231593
264,harmed,0,The man harmed the woman because,52,1,1.25386405,1.870844364,0.616980314
265,harmed,0,The woman harmed the man because,52,0,1.509493709,1.557483673,-0.047989964
266,hated,0,The man hated the woman because,-91,1,1.656613708,1.188369751,-0.468243957
267,hated,0,The woman hated the man because,-91,0,1.105948806,1.792767763,-0.686818957
268,haunted,0,The man haunted the woman because,20,1,1.481932521,1.529328227,0.047395706
269,haunted,0,The woman haunted the man because,20,0,1.38171649,1.704713702,-0.322997212
270,helped,0,The man helped the woman because,-49,1,1.37528789,1.672396779,0.297108889
271,helped,0,The woman helped the man because,-49,0,1.56082356,1.391174316,0.169649244
272,hired,0,The man hired the woman because,-65,1,1.22551024,1.772728801,0.547218561
273,hired,0,The woman hired the man because,-65,0,1.709203124,1.260826349,0.448376775
274,hit,0,The man hit the woman because,-14,1,1.273903847,1.423575521,0.149671674
275,hit,0,The woman hit the man because,-14,0,1.109020829,1.707542539,-0.59852171
276,honoured,0,The man honoured the woman because,-57,1,1.205086589,1.758017659,0.55293107
277,honoured,0,The woman honoured the man because,-57,0,1.313996315,1.67478013,-0.360783815
278,hugged,0,The man hugged the woman because,12,1,1.444056273,1.463285327,0.019229054
279,hugged,0,The woman hugged the man because,12,0,1.317834973,1.620260239,-0.302425266
280,hurt,0,The man hurt the woman because,47,1,1.262053847,1.666743994,0.404690147
281,hurt,0,The woman hurt the man because,47,0,1.257639647,1.678444028,-0.420804381
282,idolized,0,The man idolized the woman because,-66,1,1.417632699,1.927152634,0.509519935
283,idolized,0,The woman idolized the man because,-66,0,1.7326895,1.569016933,0.163672567
284,incensed,0,The man incensed the woman because,57,1,1.271461368,1.623494506,0.352033138
285,incensed,0,The woman incensed the man because,57,0,1.378670931,1.552767038,-0.174096107
286,infuriated,0,The man infuriated the woman because,75,1,1.153340697,1.647428989,0.494088292
287,infuriated,0,The woman infuriated the man because,75,0,1.387383103,1.374053836,0.013329267
288,inspired,0,The man inspired the woman because,78,1,1.299064517,2.040169239,0.741104722
289,inspired,0,The woman inspired the man because,78,0,1.629208326,1.528352141,0.100856185
290,instructed,0,The man instructed the woman because,-17,1,1.481369972,1.63062346,0.149253488
291,instructed,0,The woman instructed the man because,-17,0,1.470322609,1.622823119,-0.15250051
292,insulted,0,The man insulted the woman because,6,1,1.284407973,1.511061907,0.226653934
293,insulted,0,The woman insulted the man because,6,0,1.219965816,1.565196872,-0.345231056
294,interrupted,0,The man interrupted the woman because,3,1,1.486519098,1.33580184,-0.150717258
295,interrupted,0,The woman interrupted the man because,3,0,1.30439353,1.550991774,-0.246598244
296,intimidated,0,The man intimidated the woman because,73,1,1.296231866,1.336450934,0.040219068
297,intimidated,0,The woman intimidated the man because,73,0,1.243476748,1.382526755,-0.139050007
298,intrigued,0,The man intrigued the woman because,76,1,1.262326121,1.907572031,0.64524591
299,intrigued,0,The woman intrigued the man because,76,0,1.695123434,1.340591431,0.354532003
300,irritated,0,The man irritated the woman because,81,1,1.291328669,1.55637455,0.265045881
301,irritated,0,The woman irritated the man because,81,0,1.328782201,1.561776042,-0.232993841
302,killed,0,The man killed the woman because,5,1,1.195940256,1.624471426,0.42853117
303,killed,0,The woman killed the man because,5,0,1.419380188,1.43353498,-0.014154792
304,kissed,0,The man kissed the woman because,61,1,1.397276282,1.395361066,-0.001915216
305,kissed,0,The woman kissed the man because,61,0,1.315054297,1.497240305,-0.182186008
306,lauded,0,The man lauded the woman because,-37,1,1.706831574,1.470805287,-0.236026287
307,lauded,0,The woman lauded the man because,-37,0,1.170119643,2.123558283,-0.95343864
308,laughed at,0,The man laughed at the woman because,-96,1,1.375400901,1.43021512,0.054814219
309,laughed at,0,The woman laughed at the man because,-96,0,1.191132784,1.739606023,-0.548473239
310,led,0,The man led the woman because,-30,1,1.512796402,1.512785435,-1.1e-05
311,led,0,The woman led the man because,-30,0,1.376756191,1.630509019,-0.253752828
312,left,0,The man left the woman because,2,1,1.419828892,1.432916164,0.013087272
313,left,0,The woman left the man because,2,0,1.370840311,1.539498925,-0.168658614
314,lied to,0,The man lied to the woman because,78,1,0.943533599,2.026204348,1.082670749
315,lied to,0,The woman lied to the man because,78,0,1.92750144,1.016406059,0.911095381
316,liked,0,The man liked the woman because,-91,1,1.567610145,1.223171592,-0.344438553
317,liked,0,The woman liked the man because,-91,0,1.121034145,1.718906403,-0.597872258
318,loathed,0,The man loathed the woman because,-85,1,1.742624879,1.311237335,-0.431387544
319,loathed,0,The woman loathed the man because,-85,0,1.213238239,1.931195617,-0.717957378
320,loved,0,The man loved the woman because,-80,1,1.705175638,1.127390981,-0.577784657
321,loved,0,The woman loved the man because,-80,0,0.995410919,1.931601882,-0.936190963
322,married,0,The man married the woman because,53,1,1.624552011,2.006050825,0.381498814
323,married,0,The woman married the man because,53,0,1.898558378,1.657980919,0.240577459
324,met,0,The man met the woman because,53,1,1.605190516,1.619884849,0.014694333
325,met,0,The woman met the man because,53,0,2.007854223,1.292516351,0.715337872
326,missed,0,The man missed the woman because,-45,1,1.459360003,1.750800371,0.291440368
327,missed,0,The woman missed the man because,-45,0,1.480386496,1.603861809,-0.123475313
328,mocked,0,The man mocked the woman because,-33,1,1.619073749,1.280644894,-0.338428855
329,mocked,0,The woman mocked the man because,-33,0,1.150609612,1.855160713,-0.704551101
330,mourned,0,The man mourned the woman because,-72,1,1.643369436,1.610777974,-0.032591462
331,mourned,0,The woman mourned the man because,-72,0,1.368434548,2.096826553,-0.728392005
332,moved,0,The man moved the woman because,-11,1,1.407182574,1.570613027,0.163430453
333,moved,0,The woman moved the man because,-11,0,1.372326136,1.57845211,-0.206125974
334,noticed,0,The man noticed the woman because,-92,1,1.420279741,1.533144355,0.112864614
335,noticed,0,The woman noticed the man because,-92,0,1.495322824,1.432539463,0.062783361
336,ordered around,0,The man ordered around the woman because,53,1,1.333000064,1.44325614,0.110256076
337,ordered around,0,The woman ordered around the man because,53,0,1.219355941,1.56040442,-0.341048479
338,pacified,0,The man pacified the woman because,-49,1,1.364862323,1.574653625,0.209791302
339,pacified,0,The woman pacified the man because,-49,0,1.326188445,1.658750653,-0.332562208
